designIndex,iter,curr_drc,prev_drc,delta_drc
15,8,1052,1448,396
15,9,718,1167,449
15,10,529,238,-291
15,11,238,174,-64
15,12,90,59,-31
15,13,52,50,-2
15,14,17,51,34
15,15,8,27,19
15,16,8,74,66
15,17,10,590,580
15,18,9,21,12
15,19,8,14,6
15,20,8,15,7
15,21,9,40,31
15,22,10,23,13
15,23,7,220,213
15,24,7,34,27
15,25,7,467,460
15,26,7,12,5
15,27,7,15,8
15,28,7,0,-7
16,0,1530,10656,9126
16,1,9821,6724,-3097
16,2,6566,6328,-238
16,3,6340,2232,-4108
16,4,1729,607,-1122
16,5,546,233,-313
16,6,194,251,57
16,7,113,121,8
16,8,90,122,32
16,9,41,287,246
16,10,36,16,-20
16,11,8,3,-5
16,12,3,2,-1
16,13,2,2,0
16,14,1,2,1
16,15,1,1,0
16,16,1,0,-1
17,0,2229,7734,5505
17,1,6704,1854,-4850
17,2,1589,1167,-422
17,3,1009,70,-939
17,4,15,0,-15
18,0,18336,86499,68163
18,1,81272,54272,-27000
18,2,53700,50549,-3151
18,3,48104,16052,-32052
18,4,12229,7773,-4456
18,5,5307,4295,-1012
18,6,2728,2781,53
18,7,1816,2694,878
18,8,1220,1576,356
18,9,809,893,84
18,10,506,205,-301
18,11,165,62,-103
18,12,62,32,-30
18,13,31,4,-27
18,14,4,2,-2
18,15,2,0,-2
19,0,12066,41051,28985
19,1,36434,11419,-25015
19,2,10438,8004,-2434
19,3,6975,1154,-5821
19,4,248,300,52
19,5,33,268,235
19,6,26,224,198
19,7,29,255,226
19,8,28,82,54
19,9,8,78,70
19,10,4,0,-4
20,0,3881,9890,6009
20,1,9243,2664,-6579
20,2,2277,1462,-815
20,3,1254,168,-1086
20,4,37,26,-11
20,5,2,24,22
20,6,2,28,26
20,7,2,0,-2
21,0,1982,6276,4294
21,1,5605,1818,-3787
21,2,1626,1349,-277
21,3,1178,93,-1085
21,4,27,0,-27
22,0,668,2987,2319
22,1,2786,1283,-1503
22,2,1153,1019,-134
22,3,931,153,-778
22,4,72,1,-71
23,0,1054,4855,3801
23,1,4253,1819,-2434
23,2,1782,1525,-257
23,3,1334,98,-1236
23,4,40,0,-40
24,0,1318,7988,6670
24,1,7600,4864,-2736
24,2,4814,4475,-339
24,3,4140,821,-3319
24,4,500,121,-379
24,5,65,87,22
24,6,35,0,-35
25,0,120360,351868,231508
25,1,307386,86075,-221311
25,2,75893,52934,-22959
25,3,45704,16430,-29274
25,4,2909,9442,6533
25,5,1174,8506,7332
25,6,817,7599,6782
25,7,718,7775,7057
25,8,635,3989,3354
25,9,491,2179,1688
25,10,414,201,-213
25,11,144,15,-129
25,12,11,6,-5
25,13,3,0,-3
26,0,22454,90539,68085
26,1,79226,28001,-51225
26,2,25845,21338,-4507
26,3,18637,5514,-13123
26,4,1217,2191,974
26,5,325,1603,1278
26,6,223,1918,1695
26,7,167,1099,932
26,8,161,762,601
26,9,134,311,177
26,10,97,43,-54
26,11,30,0,-30
27,0,7122,23960,16838
27,1,20565,7733,-12832
27,2,7248,6039,-1209
27,3,5252,4169,-1083
27,4,886,2609,1723
27,5,532,2988,2456
27,6,430,2661,2231
27,7,401,2702,2301
27,8,335,1314,979
27,9,302,694,392
27,10,213,57,-156
27,11,49,7,-42
27,12,7,1,-6
27,13,1,0,-1
28,0,10,55,45
28,1,55,15,-40
28,2,15,9,-6
28,3,9,0,-9
29,0,18088,50785,32697
29,1,48377,16591,-31786
29,2,15355,12302,-3053
29,3,10740,904,-9836
29,4,303,7,-296
30,0,17788,48097,30309
30,1,46014,15528,-30486
30,2,14167,10988,-3179
30,3,9675,1178,-8497
30,4,414,5,-409
30,5,1,0,-1
31,0,7404,34760,27356
31,1,31153,16431,-14722
31,2,15969,14332,-1637
31,3,13070,1835,-11235
31,4,982,165,-817
31,5,110,44,-66
31,6,37,1,-36
31,7,1,0,-1
32,0,4654,10372,5718
32,1,8256,1655,-6601
32,2,304,157,-147
32,3,73,14,-59
32,4,1,0,-1
33,0,40280,55983,15703
33,1,63237,14493,-48744
33,2,7508,5600,-1908
33,3,3530,942,-2588
33,4,188,54,-134
33,5,7,6,-1
33,6,4,2,-2
34,0,2078,5085,3007
34,1,4128,1110,-3018
34,2,545,404,-141
34,3,258,76,-182
34,4,9,1,-8
34,5,1,0,-1
35,0,10580,1814,-8766
35,1,10833,119,-10714
36,0,30,52,22
36,1,70,22,-48
36,2,8,0,-8
37,0,193,150,-43
37,1,215,16,-199
37,2,1,0,-1
38,0,1297,2686,1389
38,1,2559,682,-1877
38,2,335,221,-114
38,3,176,57,-119
38,4,5,1,-4
