design,size,offset,mazeEndIter,DRCCost,MarkerCost,FixedShapeCost,Decay,ripupMode,followGuide,DRC
3,7.0,-2.0,8.0,128.0,128.0,400.0,0.95,DRC,False,0
3,7.0,-3.0,8.0,8.0,32.0,400.0,0.95,NEARDRC,False,0
3,7.0,-4.0,8.0,128.0,128.0,400.0,0.95,DRC,False,0
3,7.0,-5.0,8.0,128.0,128.0,400.0,0.95,DRC,False,0
3,7.0,-6.0,8.0,128.0,128.0,800.0,0.99,DRC,False,0
3,3.0,-2.0,8.0,8.0,32.0,800.0,0.99,ALL,False,0
3,7.0,0.0,16.0,128.0,128.0,800.0,0.99,DRC,False,0
3,7.0,-1.0,16.0,128.0,128.0,800.0,0.99,DRC,False,0
3,7.0,-2.0,16.0,8.0,32.0,800.0,0.99,NEARDRC,False,0
3,7.0,-3.0,16.0,128.0,128.0,800.0,0.99,DRC,False,0
3,7.0,-4.0,16.0,128.0,128.0,800.0,0.99,DRC,False,0
3,7.0,-5.0,16.0,128.0,128.0,800.0,0.99,DRC,False,0
3,7.0,-6.0,16.0,128.0,128.0,800.0,0.99,DRC,False,0
3,3.0,0.0,8.0,8.0,32.0,800.0,0.99,ALL,False,0
3,7.0,0.0,32.0,256.0,256.0,800.0,0.999,DRC,False,0
3,7.0,-1.0,32.0,8.0,32.0,800.0,0.999,NEARDRC,False,0
3,7.0,-2.0,32.0,256.0,256.0,800.0,0.999,DRC,False,0
3,7.0,-3.0,32.0,256.0,256.0,800.0,0.999,DRC,False,0
3,7.0,-4.0,32.0,256.0,256.0,800.0,0.999,DRC,False,0
3,7.0,-5.0,32.0,256.0,256.0,800.0,0.999,DRC,False,0
3,7.0,-6.0,32.0,256.0,256.0,800.0,0.999,DRC,False,0
3,3.0,-1.0,8.0,8.0,32.0,800.0,0.999,ALL,False,0
3,7.0,0.0,64.0,8.0,32.0,800.0,0.999,NEARDRC,False,0
3,7.0,-1.0,64.0,512.0,512.0,800.0,0.999,DRC,False,0
3,7.0,-2.0,64.0,512.0,512.0,800.0,0.999,DRC,False,0
3,7.0,-3.0,64.0,512.0,512.0,800.0,0.999,DRC,False,0
3,7.0,-4.0,64.0,512.0,512.0,800.0,0.999,DRC,False,0
3,7.0,-5.0,64.0,512.0,512.0,800.0,0.999,DRC,False,0
3,7.0,-6.0,64.0,512.0,512.0,800.0,0.999,DRC,False,0
4,7.0,0.0,3.0,8.0,0.0,8.0,0.95,ALL,True,20369
4,7.0,-2.0,3.0,8.0,8.0,8.0,0.95,ALL,True,983
4,7.0,-5.0,3.0,8.0,8.0,8.0,0.95,ALL,True,530
4,7.0,0.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
4,7.0,-1.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
4,7.0,-2.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
4,7.0,-3.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
4,7.0,-4.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
4,7.0,-5.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
4,7.0,-6.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
4,7.0,0.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
4,7.0,-1.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
4,7.0,-2.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
4,7.0,-3.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
4,7.0,-4.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
4,7.0,-5.0,8.0,16.0,32.0,32.0,0.95,DRC,False,0
4,7.0,-6.0,8.0,16.0,32.0,32.0,0.95,DRC,False,0
4,7.0,-3.0,8.0,8.0,32.0,32.0,0.95,ALL,False,0
4,7.0,0.0,8.0,32.0,32.0,32.0,0.95,DRC,False,0
4,7.0,-1.0,8.0,32.0,32.0,32.0,0.95,DRC,False,0
4,7.0,-2.0,8.0,32.0,32.0,80.0,0.95,DRC,False,0
4,7.0,-3.0,8.0,32.0,32.0,80.0,0.95,DRC,False,0
4,7.0,-4.0,8.0,32.0,32.0,80.0,0.95,DRC,False,0
4,7.0,-5.0,8.0,8.0,32.0,80.0,0.95,NEARDRC,False,0
4,7.0,-6.0,8.0,32.0,32.0,80.0,0.95,DRC,False,0
4,5.0,-2.0,8.0,8.0,32.0,80.0,0.95,ALL,False,0
4,7.0,0.0,8.0,64.0,64.0,80.0,0.95,DRC,False,0
4,7.0,-1.0,8.0,64.0,64.0,80.0,0.95,DRC,False,0
4,7.0,-2.0,8.0,64.0,64.0,80.0,0.95,DRC,False,0
4,7.0,-3.0,8.0,64.0,64.0,80.0,0.95,DRC,False,0
4,7.0,-4.0,8.0,8.0,32.0,400.0,0.95,NEARDRC,False,0
4,7.0,-5.0,8.0,64.0,64.0,400.0,0.95,DRC,False,0
4,7.0,-6.0,8.0,64.0,64.0,400.0,0.95,DRC,False,0
4,3.0,-1.0,8.0,8.0,32.0,400.0,0.95,ALL,False,0
4,7.0,0.0,8.0,128.0,128.0,400.0,0.95,DRC,False,0
4,7.0,-1.0,8.0,128.0,128.0,400.0,0.95,DRC,False,0
4,7.0,-2.0,8.0,128.0,128.0,400.0,0.95,DRC,False,0
4,7.0,-3.0,8.0,8.0,32.0,400.0,0.95,NEARDRC,False,0
4,7.0,-4.0,8.0,128.0,128.0,400.0,0.95,DRC,False,0
4,7.0,-5.0,8.0,128.0,128.0,400.0,0.95,DRC,False,0
4,7.0,-6.0,8.0,128.0,128.0,800.0,0.99,DRC,False,0
4,3.0,-2.0,8.0,8.0,32.0,800.0,0.99,ALL,False,0
4,7.0,0.0,16.0,128.0,128.0,800.0,0.99,DRC,False,0
4,7.0,-1.0,16.0,128.0,128.0,800.0,0.99,DRC,False,0
4,7.0,-2.0,16.0,8.0,32.0,800.0,0.99,NEARDRC,False,0
4,7.0,-3.0,16.0,128.0,128.0,800.0,0.99,DRC,False,0
4,7.0,-4.0,16.0,128.0,128.0,800.0,0.99,DRC,False,0
4,7.0,-5.0,16.0,128.0,128.0,800.0,0.99,DRC,False,0
4,7.0,-6.0,16.0,128.0,128.0,800.0,0.99,DRC,False,0
4,3.0,0.0,8.0,8.0,32.0,800.0,0.99,ALL,False,0
4,7.0,0.0,32.0,256.0,256.0,800.0,0.999,DRC,False,0
4,7.0,-1.0,32.0,8.0,32.0,800.0,0.999,NEARDRC,False,0
4,7.0,-2.0,32.0,256.0,256.0,800.0,0.999,DRC,False,0
4,7.0,-3.0,32.0,256.0,256.0,800.0,0.999,DRC,False,0
4,7.0,-4.0,32.0,256.0,256.0,800.0,0.999,DRC,False,0
4,7.0,-5.0,32.0,256.0,256.0,800.0,0.999,DRC,False,0
4,7.0,-6.0,32.0,256.0,256.0,800.0,0.999,DRC,False,0
4,3.0,-1.0,8.0,8.0,32.0,800.0,0.999,ALL,False,0
4,7.0,0.0,64.0,8.0,32.0,800.0,0.999,NEARDRC,False,0
4,7.0,-1.0,64.0,512.0,512.0,800.0,0.999,DRC,False,0
4,7.0,-2.0,64.0,512.0,512.0,800.0,0.999,DRC,False,0
4,7.0,-3.0,64.0,512.0,512.0,800.0,0.999,DRC,False,0
4,7.0,-4.0,64.0,512.0,512.0,800.0,0.999,DRC,False,0
4,7.0,-5.0,64.0,512.0,512.0,800.0,0.999,DRC,False,0
4,7.0,-6.0,64.0,512.0,512.0,800.0,0.999,DRC,False,0
5,7.0,0.0,3.0,8.0,0.0,8.0,0.95,ALL,True,205
5,7.0,-2.0,3.0,8.0,8.0,8.0,0.95,ALL,True,10
5,7.0,-5.0,3.0,8.0,8.0,8.0,0.95,ALL,True,7
5,7.0,0.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
5,7.0,-1.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
5,7.0,-2.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
5,7.0,-3.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
5,7.0,-4.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
5,7.0,-5.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
5,7.0,-6.0,8.0,8.0,32.0,16.0,0.95,DRC,False,0
5,7.0,0.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
5,7.0,-1.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
5,7.0,-2.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
5,7.0,-3.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
5,7.0,-4.0,8.0,16.0,32.0,24.0,0.95,DRC,False,0
5,7.0,-5.0,8.0,16.0,32.0,32.0,0.95,DRC,False,0
5,7.0,-6.0,8.0,16.0,32.0,32.0,0.95,DRC,False,0
5,7.0,-3.0,8.0,8.0,32.0,32.0,0.95,ALL,False,0
5,7.0,0.0,8.0,32.0,32.0,32.0,0.95,DRC,False,0
5,7.0,-1.0,8.0,32.0,32.0,32.0,0.95,DRC,False,0
5,7.0,-2.0,8.0,32.0,32.0,80.0,0.95,DRC,False,0
5,7.0,-3.0,8.0,32.0,32.0,80.0,0.95,DRC,False,0
5,7.0,-4.0,8.0,32.0,32.0,80.0,0.95,DRC,False,0
5,7.0,-5.0,8.0,8.0,32.0,80.0,0.95,NEARDRC,False,0
5,7.0,-6.0,8.0,32.0,32.0,80.0,0.95,DRC,False,0
5,5.0,-2.0,8.0,8.0,32.0,80.0,0.95,ALL,False,0
5,7.0,0.0,8.0,64.0,64.0,80.0,0.95,DRC,False,0
